SupportRepId  FirstName   LastName    CustomerId  FirstName   LastName  
------------  ----------  ----------  ----------  ----------  ----------
3             Jane        Peacock     1           Luís       Gonçalves
5             Steve       Johnson     2           Leonie      Köhler   
3             Jane        Peacock     3           François   Tremblay  
4             Margaret    Park        4           Bjørn      Hansen    
4             Margaret    Park        5           František  Wichterlov
5             Steve       Johnson     6           Helena      Holý     
5             Steve       Johnson     7           Astrid      Gruber    
4             Margaret    Park        8           Daan        Peeters   
4             Margaret    Park        9           Kara        Nielsen   
4             Margaret    Park        10          Eduardo     Martins   
5             Steve       Johnson     11          Alexandre   Rocha     
3             Jane        Peacock     12          Roberto     Almeida   
4             Margaret    Park        13          Fernanda    Ramos     
5             Steve       Johnson     14          Mark        Philips   
3             Jane        Peacock     15          Jennifer    Peterson  
4             Margaret    Park        16          Frank       Harris    
5             Steve       Johnson     17          Jack        Smith     
3             Jane        Peacock     18          Michelle    Brooks    
3             Jane        Peacock     19          Tim         Goyer     
4             Margaret    Park        20          Dan         Miller    
5             Steve       Johnson     21          Kathy       Chase     
4             Margaret    Park        22          Heather     Leacock   
4             Margaret    Park        23          John        Gordon    
3             Jane        Peacock     24          Frank       Ralston   
5             Steve       Johnson     25          Victor      Stevens   
